                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.9089,                 2.4695,                 2.8267,                0.00094,                0.27747,                0.02914,                0.01561,                 2.3658,                 4.3695,                 4.1947,              0.0007319,              0.0007319,              0.0007319
                     48,                 1.8569,                 2.4458,                 2.7514,                0.00161,                0.49313,                0.00643,                0.00243,                 2.3653,                 4.3752,                 4.1979,             0.00074703,             0.00074703,             0.00074703
                     49,                 2.0138,                 2.7148,                 2.8574,                 0.0019,                0.57005,                0.00258,                0.00088,                 2.3634,                 4.3975,                 4.1986,             0.00076214,             0.00076214,             0.00076214
                     50,                 1.9697,                 2.4509,                  2.837,                0.00106,                0.31456,                0.00198,                0.00066,                 2.3611,                  4.411,                 4.1991,             0.00077721,             0.00077721,             0.00077721
                     51,                 1.6984,                 2.2863,                 2.6338,                0.00084,                0.28434,                0.00255,                 0.0008,                 2.3576,                 4.4228,                 4.2018,             0.00079224,             0.00079224,             0.00079224
                     52,                 1.8999,                 2.6391,                  2.769,                0.00114,                0.35714,                0.00574,                 0.0023,                 2.3585,                 4.3667,                 4.2068,             0.00080724,             0.00080724,             0.00080724
                     53,                 1.6591,                 2.4701,                 2.5731,                0.00108,                0.33929,                0.00673,                0.00269,                 2.3588,                 4.3541,                 4.2109,             0.00082222,             0.00082222,             0.00082222
                     54,                 1.9141,                 2.2734,                  2.591,                0.00113,                0.35714,                0.00745,                 0.0038,                  2.358,                 4.3432,                 4.2125,             0.00083715,             0.00083715,             0.00083715
                     55,                 1.9901,                 2.2342,                 2.7714,                 0.0009,                0.30357,                 0.0025,                0.00118,                 2.3546,                 4.4276,                 4.2109,             0.00085206,             0.00085206,             0.00085206
                     56,                 1.7303,                 2.4617,                 2.5327,                0.00097,                0.32143,                 0.0018,                0.00062,                 2.3544,                  4.496,                 4.2105,             0.00086693,             0.00086693,             0.00086693
                     57,                 1.6092,                 2.0725,                 2.4476,                0.00097,                0.32143,                0.00134,                0.00044,                  2.354,                 4.5087,                 4.2129,             0.00088177,             0.00088177,             0.00088177
                     58,                 1.9698,                 2.4743,                 2.6426,                0.00097,                0.32143,                0.00172,                 0.0005,                 2.3544,                 4.5081,                 4.2139,             0.00089657,             0.00089657,             0.00089657
                     59,                 1.7138,                 2.0716,                 2.3251,                0.00097,                0.32143,                 0.0019,                0.00078,                 2.3536,                 4.4881,                 4.2136,             0.00091134,             0.00091134,             0.00091134
                     60,                 1.6078,                 2.0692,                 2.3157,                0.00084,                0.18681,                0.00202,                0.00086,                 2.3544,                  4.462,                  4.214,             0.00092608,             0.00092608,             0.00092608
                     61,                 1.4678,                 2.0321,                 2.3552,                0.00077,                0.16758,                0.00259,                0.00104,                 2.3545,                 4.3988,                 4.2109,             0.00094079,             0.00094079,             0.00094079
                     62,                 1.4998,                 2.1815,                  2.236,                0.00093,                0.20604,                0.00293,                0.00103,                 2.3522,                 4.3524,                 4.2046,             0.00095546,             0.00095546,             0.00095546
                     63,                  1.501,                 2.0252,                 2.2885,                0.00095,                0.20604,                0.00354,                0.00119,                 2.3537,                 4.3203,                 4.1954,              0.0009701,              0.0009701,              0.0009701
                     64,                 1.5431,                  1.964,                 2.3219,                0.00087,                0.18681,                0.00369,                0.00135,                 2.3528,                 4.3205,                 4.1904,             0.00098471,             0.00098471,             0.00098471
                     65,                   1.58,                 2.2337,                 2.3648,                0.00086,                0.18681,                0.00319,                0.00115,                 2.3521,                 4.3456,                 4.1848,             0.00099928,             0.00099928,             0.00099928
                     66,                 1.4358,                 1.8458,                 2.1468,                0.00078,                0.16896,                0.00278,                0.00103,                 2.3525,                 4.4012,                 4.1792,              0.0010138,              0.0010138,              0.0010138
                     67,                 1.3883,                  1.769,                  2.146,                0.00103,                0.18681,                0.00358,                0.00137,                 2.3513,                   4.43,                  4.165,              0.0010283,              0.0010283,              0.0010283
                     68,                 1.3266,                 1.8002,                 2.0668,                0.00088,                0.16896,                0.01017,                0.00415,                 2.3502,                 4.4381,                 4.1461,              0.0010428,              0.0010428,              0.0010428
                     69,                 1.2394,                 1.7265,                 2.1328,                0.00102,                0.16896,                0.00431,                0.00172,                 2.3486,                 4.4342,                 4.1287,              0.0010572,              0.0010572,              0.0010572
                     70,                 1.3132,                 1.9531,                 2.0657,                 0.0015,                0.18819,                0.00476,                0.00178,                 2.3452,                 4.3013,                 4.1115,              0.0010717,              0.0010717,              0.0010717
                     71,                 1.3721,                 1.6958,                 2.0928,                0.00157,                0.18819,                 0.0047,                0.00176,                 2.3416,                 4.1752,                 4.0923,               0.001086,               0.001086,               0.001086
                     72,                 1.3112,                 1.7749,                  2.084,                0.00155,                0.18819,                0.00469,                0.00175,                 2.3373,                 4.1535,                 4.0643,              0.0011004,              0.0011004,              0.0011004
                     73,                 1.1018,                 1.6249,                 2.0419,                0.00173,                0.20604,                0.00341,                0.00116,                 2.3309,                  4.127,                 4.0396,              0.0011147,              0.0011147,              0.0011147
                     74,                 1.2648,                 1.7428,                 1.9709,                0.00158,                0.18681,                0.00303,                0.00109,                 2.3187,                 4.0601,                  3.995,               0.001129,               0.001129,               0.001129
                     75,                 1.2253,                 1.6816,                 1.9674,                0.00142,                0.16758,                0.00308,                0.00114,                 2.3081,                 3.9715,                 3.9424,              0.0011432,              0.0011432,              0.0011432
                     76,                 1.1739,                 1.6466,                 1.8993,                 0.0024,                0.29945,                  0.004,                0.00172,                 2.2946,                 3.8953,                 3.8879,              0.0011574,              0.0011574,              0.0011574
                     77,                 1.1361,                  1.549,                 1.7792,                0.00366,                0.53434,                0.00631,                0.00244,                 2.2763,                 3.8799,                 3.8601,              0.0011716,              0.0011716,              0.0011716
                     78,                 1.1533,                 1.5047,                 1.9484,                0.00344,                0.57005,                0.01014,                0.00265,                 2.2543,                 3.9427,                 3.8562,              0.0011857,              0.0011857,              0.0011857
                     79,                 1.0541,                 1.4541,                 1.8468,                0.00318,                0.58929,                0.01249,                0.00316,                 2.2274,                 4.0023,                 3.7994,              0.0011999,              0.0011999,              0.0011999
                     80,                 1.1352,                 1.5367,                 1.8899,                0.00294,                0.58929,                0.04153,                0.00649,                 2.1852,                 4.0856,                 3.6913,              0.0012139,              0.0012139,              0.0012139
                     81,                 1.1445,                 1.6332,                 1.8132,                0.00268,                0.57005,                0.09873,                0.01481,                 2.1484,                 4.1361,                 3.5895,               0.001228,               0.001228,               0.001228
                     82,                0.99401,                 1.3866,                 1.7298,                0.00303,                0.57005,                0.10924,                0.02051,                 2.1838,                 4.1277,                 3.5757,               0.001242,               0.001242,               0.001242
                     83,                 1.0449,                 1.2979,                 1.7697,                0.00492,                0.26099,                0.12236,                0.03194,                 2.2066,                 4.1135,                  3.547,               0.001256,               0.001256,               0.001256
                     84,                0.92822,                 1.2592,                 1.6795,                0.30531,                0.13187,                0.11941,                 0.0294,                 2.2352,                  4.192,                 3.5554,              0.0012699,              0.0012699,              0.0012699
                     85,                 1.1531,                  1.441,                  1.752,                0.00455,                0.71703,                0.11957,                0.02981,                 2.0714,                 4.1472,                 3.2941,              0.0012838,              0.0012838,              0.0012838
                     86,                 1.1234,                 1.3988,                 1.8517,                0.00449,                 0.6978,                0.26907,                0.06991,                 2.0499,                 3.9252,                 3.0962,              0.0012977,              0.0012977,              0.0012977
                     87,                 1.0873,                 1.3183,                 1.7392,                0.00418,                0.62088,                0.25398,                0.06621,                 2.1594,                 3.8748,                 3.2038,              0.0013116,              0.0013116,              0.0013116
                     88,                0.93859,                 1.3425,                 1.4957,                 0.0042,                0.60577,                0.08532,                 0.0195,                 2.0749,                 4.0154,                 3.1639,              0.0013254,              0.0013254,              0.0013254
